# 中证全指 (index.000985.SH) — 主要市场阶段划分
#
# 规则:
#   - 每段从精确最高/最低点划分
#   - bull = 从最低到最高（上涨段）
#   - bear = 从最高到最低（下跌段）
#   - 日期精确到交易日，来自数据库
#
# 你可以任意修改日期和备注，改完告诉我就行。

start_date,end_date,phase_type,notes

# ── 2005-2008 大牛市 ──
2005-07-18,2008-01-14,bull,大牛市（用户注：2006-03前底部→主升→2007-06后高位分歧做顶双顶结构）

# ── 2008 金融危机 ──
2008-01-14,2008-11-04,bear,金融危机暴跌（用户注：完整下跌波段）

# ── 2009 四万亿反弹 ──
2008-11-04,2009-11-23,bull,四万亿刺激反弹（用户注：09年8-11月周线顶背离）

# ── 2009-2012 漫长熊市 ──
2009-11-23,2012-12-03,bear,漫长熊市（用户注：对称性+大均线支撑判断）

# ── 2012-2015 创业板→杠杆牛 ──
2012-12-03,2015-06-12,bull,创业板牛→全面牛市（用户注：中证全指2014-08前震荡磨底）

# ── 2015-2016 股灾+熔断 ──
2015-06-12,2016-01-28,bear,股灾+熔断（用户注：B浪反弹到黄金分割0.618）

# ── 2016 超跌反弹 ──
2016-01-28,2016-11-28,bull,超跌反弹

# ── 2016-2018 慢熊 ──
2016-11-28,2018-10-18,bear,慢熊（用户注：2018-06跌破箱体+240周线进入下跌周期）

# ── 2018-2021 结构牛 ──
2018-10-18,2021-12-13,bull,结构牛（用户注：2019-04~2020-06宽幅震荡/强势2浪调整；后段为抱团白马行情）

# ── 2021-2024 大熊市 ──
2021-12-13,2024-02-05,bear,大熊市（用户注：ABC三浪下跌，A=2021-12→2022-04，B=→2023-02，C=→2024-02）

# ── 2024 W底反弹 ──
2024-02-05,2024-11-11,bull,W底强力反弹（用户注：股债利差+PE百分位底部信号；9-24爆发，国庆超买）

# ── 2024-2025 回调 ──
2024-11-11,2025-04-07,bear,2浪回调（用户注：国庆后超买回落，磨底半年）

# ── 2025 至今 三浪主升 ──
2025-04-07,至今,bull,3浪主升中（用户注：满仓但被洗出部分仓位）
